,orig_nq,reused_nq,active_nq,orig_ncx,sab,ru+sab,ru+mp+sab,ru+mp+rt,ha,fsqm
4gt11_83,5,2,3,14,3.3,0.0,0.0,0.0,,6.0
4gt11_84,4,1,3,9,0.0,0.0,0.0,0.0,,0.0
4gt13_92,5,0,5,30,2.1,1.8,0.0,0.0,,0.0
4mod5-bdd_287,7,3,4,31,12.9,6.0,0.0,0.0,,15.0
4mod5-v0_18,5,1,4,31,14.4,7.8,0.0,0.0,,21.0
4mod5-v0_19,5,2,3,16,5.4,0.0,0.0,0.0,,0.0
4mod5-v0_20,5,2,3,10,0.3,0.0,0.0,0.0,,0.0
4mod5-v1_22,5,2,3,11,1.2,0.0,0.0,0.0,,0.0
4mod5-v1_23,5,1,4,32,14.7,13.8,0.0,0.0,,18.0
4mod5-v1_24,5,1,4,16,3.0,0.0,0.0,0.0,,0.0
adder_n10,10,0,10,65,12.6,14.7,0.0,0.0,,
adder_n4,4,0,4,10,0.0,0.3,0.0,0.0,,
adr4_197,13,0,13,1498,1239.9,1257.9,2100.3,1045.8,882.0,972.0
alu-bdd_288,7,2,5,38,22.8,24.0,15.6,7.2,,21.0
alu-v0_27,5,1,4,17,3.9,1.2,0.0,0.0,,3.0
alu-v0_27_example,5,1,4,17,3.9,4.2,0.0,0.0,,3.0
alu-v1_28,5,1,4,18,3.6,1.2,0.0,0.0,,3.0
alu-v1_29,5,1,4,17,5.1,1.8,0.0,0.0,,3.0
alu-v2_33,5,1,4,17,4.5,2.1,0.0,0.0,,3.0
alu-v3_34,5,1,4,24,4.8,4.8,0.0,0.0,,9.0
alu-v3_35,5,1,4,18,6.3,2.4,0.0,0.0,,3.0
alu-v4_37,5,1,4,18,5.7,4.8,0.0,0.0,,3.0
basis_change_n3,3,0,3,10,0.0,0.0,0.0,0.0,,
bell_n4,4,1,3,7,0.0,0.0,0.0,0.0,,
bv_n10,10,8,2,9,7.5,0.0,0.0,0.0,,9.0
cat_state_n22,22,20,2,21,,0.0,0.0,0.0,,
cat_state_n4,4,2,2,3,0.0,0.0,0.0,0.0,,
cc_n10,10,8,2,9,6.9,0.0,0.0,0.0,,9.0
cm152a_212,12,4,8,532,333.0,266.1,581.1,200.1,,180.0
cm42a_207,14,4,10,771,441.9,422.1,852.0,277.5,,366.0
cnt3-5_179,16,12,4,85,37.8,54.6,0.0,0.0,,18.0
cnt3-5_180,16,11,5,215,138.6,84.9,180.0,90.0,,102.0
co14_215,15,0,15,7840,7851.3,7822.2,13191.9,5542.8,6429.0,4737.0
cycle10_2_110,12,0,12,2648,2342.1,2341.2,3925.2,1757.4,1719.0,1536.0
dc2_222,15,1,14,4131,3710.4,3819.9,6239.4,2813.7,,2784.0
decod24-bdd_294,6,3,3,32,14.4,0.0,0.0,0.0,,12.0
decod24-v2_43,4,0,4,22,8.4,6.0,0.0,0.0,,0.0
deutsch_n2,2,0,2,1,0.0,0.0,0.0,0.0,,
dnn_n2,2,0,2,42,0.0,0.0,0.0,0.0,,
dnn_n8,8,0,8,192,0.0,0.6,0.0,0.0,,
ex1_226,6,4,2,5,1.2,0.0,0.0,0.0,,0.0
fredkin_n3,3,0,3,8,0.9,0.0,0.0,0.0,,
ghz_state_n23,23,21,2,22,,0.0,0.0,0.0,,
graycode6_47,6,4,2,5,0.0,0.0,0.0,0.0,,0.0
grover_n2,2,0,2,2,0.0,0.0,0.0,0.0,,
hhl_n7,7,0,7,196,25.8,24.0,32.1,20.1,,
hs4_n4,4,2,2,4,0.0,0.0,0.0,0.0,,
hwb9_119,10,0,10,90955,,,,,,50427.0
inc_237,16,2,14,4636,3725.7,3721.5,6694.2,3063.6,,2952.0
ising_model_10,10,0,10,90,0.0,0.0,0.0,0.0,0.0,0.0
ising_model_13,13,2,11,120,0.0,0.6,0.0,0.0,0.0,0.0
ising_model_16,16,5,11,150,0.9,1.2,0.0,0.0,0.0,0.0
ising_n10,10,0,10,90,0.3,0.0,0.0,0.0,,
ising_n26,26,22,4,50,,0.0,0.0,0.0,,
iswap_n2,2,0,2,2,0.0,0.0,0.0,0.0,,
knn_n25,25,22,3,96,,0.0,0.0,0.0,,
linearsolver_n3,3,0,3,4,0.0,0.0,0.0,0.0,,
lpn_n5,5,3,2,2,0.0,0.0,0.0,0.0,,
mini_alu_305,10,4,6,77,43.5,41.1,57.0,18.9,,60.0
misex1_241,15,0,15,2100,1198.2,1344.9,2843.4,1062.6,942.0,1065.0
mod5mils_65,5,2,3,16,5.1,0.0,0.0,0.0,,0.0
multiply_n13,13,4,9,43,23.1,23.7,27.6,21.6,,
pea_n5,5,0,5,42,4.2,4.2,3.6,3.0,,
pm1_249,14,4,10,771,423.6,413.7,852.3,254.7,,366.0
qaoa_n3,3,0,3,6,0.0,0.0,0.0,0.0,,
qaoa_n6,6,0,6,54,8.1,7.5,14.1,11.7,,
qec_en_n5,5,1,4,10,0.0,0.0,0.0,0.0,,
qft_10,10,0,10,90,38.7,36.9,45.6,33.6,36.0,39.0
qft_13,13,0,13,156,83.1,82.2,112.5,90.9,78.0,105.0
qft_16,16,0,16,240,147.9,143.7,215.7,183.9,174.0,147.0
qft_20,20,0,20,380,270.9,271.8,394.8,320.1,,423.0
qft_n4,4,0,4,12,1.2,1.5,0.0,0.0,,
qpe_n9,9,3,6,43,9.3,10.8,13.2,8.4,,
qram_n20,20,7,13,136,91.8,82.2,132.6,97.8,,
quantumwalks_n2,2,0,2,3,0.0,0.0,0.0,0.0,,
radd_250,13,1,12,1405,1203.9,1203.0,1981.5,944.4,840.0,897.0
rd32-v0_66,4,1,3,16,3.3,0.0,0.0,0.0,,6.0
rd32-v1_68,4,1,3,16,6.3,1.8,0.0,0.0,,6.0
rd53_138,8,3,5,60,36.9,22.2,22.2,12.6,,57.0
rd53_311,13,6,7,124,96.3,52.8,93.0,56.1,,69.0
rd73_140,10,5,5,104,69.0,49.8,53.4,27.9,,48.0
rd73_252,10,0,10,2319,2064.3,1996.8,3207.0,1484.4,1635.0,1320.0
rd84_142,15,8,7,154,118.5,72.0,120.0,45.0,,81.0
rd84_253,12,0,12,5960,5803.5,5908.2,9023.4,3960.6,3843.0,3774.0
simon_n6,6,3,3,14,0.9,0.0,0.0,0.0,,
sqn_258,10,0,10,4459,3739.8,4002.3,6338.4,2712.0,2712.0,2277.0
squar5_261,13,2,11,869,619.5,654.9,1161.3,507.3,,483.0
square_root_7,15,0,15,3089,2357.7,2327.7,4568.4,2115.9,828.0,1512.0
swap_test_n25,25,22,3,96,,6.9,0.0,0.0,,
sym6_145,7,0,7,1701,1282.2,1259.1,2059.2,909.0,786.0,606.0
sym6_316,14,8,6,123,95.4,84.0,93.0,32.4,,108.0
sym9_146,12,7,5,148,103.5,84.0,97.8,36.9,,108.0
sym9_193,11,0,11,15232,,,,,11553.0,9234.0
sys6-v0_111,10,4,6,98,73.5,47.4,79.2,28.5,,72.0
system9,12,5,7,150,114.9,96.3,133.5,63.9,,
teleportation_n3,3,1,2,2,0.0,0.0,0.0,0.0,,
test1,4,2,2,2,0.0,0.0,0.0,0.0,,
test2,4,2,2,2,0.0,0.0,0.0,0.0,,0.0
test3,5,2,3,5,0.0,0.0,0.0,0.0,,
toffoli_n3,3,0,3,6,0.0,0.3,0.0,0.0,,
urf4_187,11,0,11,224028,,,,,,119166.0
urf5_158,9,0,9,71932,,,,,,47079.0
variational_n4,4,1,3,16,0.0,0.0,0.0,0.0,,
vqe_n4,4,0,4,9,0.0,0.0,0.0,0.0,,
wstate_n27,27,23,4,52,,3.6,0.0,0.0,,
wstate_n3,3,0,3,9,0.0,0.0,0.0,0.0,,
z4_268,11,1,10,1343,1065.3,1073.4,1767.0,801.3,801.0,651.0
